"India","Bharat Sanchar Nigam Limited Madhya Pradesh (CellOne Madhya Pradesh)","0.01100"
"India","Bharat Sanchar Nigam Limited Maharashtra (Bharat Sanchar Nigam Limited)","0.01100"
"India","Bharat Sanchar Nigam Limited North East India (CellOne North East)","0.01100"
"India","Bharat Sanchar Nigam Limited Orissa (CellOne Orissa)","0.01100"
"India","Bharat Sanchar Nigam Limited Punjab (CellOne Bihar)","0.01100"
"India","Bharat Sanchar Nigam Limited Rajasthan (CellOne Rajasthan)","0.01100"
"India","Bharat Sanchar Nigam Limited TamilNadu (CellOne Tamil Nadu)","0.01100"
"India","Bharat Sanchar Nigam Limited Uttar Pradesh East (CellOne Bihar)","0.01100"
"India","Bharat Sanchar Nigam Limited Uttar Pradesh(West) (Bharat Sanchar Nigam Limited)","0.01100"
"India","Bharat Sanchar Nigam Limited West Bengal & Andaman&Nicobar I (CellOne A&N)","0.01100"
"India","Bharti Airtel Assam (Bharti Airtel)","0.01100"
"India","Bharti Airtel Jammu & Kashmir (Bharti Airtel)","0.01100"
"India","Bharti Airtel Ltd (Bharti Airtel Orissa)","0.01100"
"India","Bharti Airtel Orissa (Airtel Orissa)","0.01100"
"India","Bharti Airtel West Bengal & Andaman&Nicobar Islands (Bharti Airtel)","0.01100"
"India","Bharti Hexacom Ltd Rajasthan (AIRTEL)","0.01100"
"India","Bharti Televentures Limited (Airtel)","0.01100"
"India","Bharti Televentures Limited Andhra Pradesh (AirTel)","0.01100"
"India","Bharti Televentures Limited Bihar & Jharkhand (AirTel)","0.01100"
"India","Bharti Televentures Limited Chennai (AirTel)","0.01100"
"India","Bharti Televentures Limited Delhi (AirTel)","0.01100"
"India","Bharti Televentures Limited Gujarat (AirTel)","0.01100"
"India","Bharti Televentures Limited Haryana (AirTel)","0.01100"
"India","Bharti Televentures Limited Himachal Pradesh (AirTel)","0.01100"
"India","Bharti Televentures Limited Karnataka (AirTel)","0.01100"
"India","Bharti Televentures Limited Kerala (AirTel)","0.01100"
"India","Bharti Televentures Limited Kolkata (AirTel)","0.01100"
"India","Bharti Televentures Limited Madhya Pradesh (AirTel)","0.01100"
"India","Bharti Televentures Limited Maharashtra (AirTel)","0.01100"
"India","Bharti Televentures Limited Mumbai (AirTel)","0.01100"
"India","Bharti Televentures Limited North East India (AirTel)","0.01100"
"India","Bharti Televentures Limited Punjab (AirTel)","0.01100"
"India","Bharti Televentures Limited TamilNadu (AirTel)","0.01100"
"India","Bharti Televentures Limited Uttar Pradesh (AirTel)","0.01100"
"India","Bharti Televentures Limited Uttar Pradesh East (AirTel)","0.01100"
"India","Dishnet Wireless Limited (Aircel Punjab)","0.01100"
"India","Dishnet Wireless Limited Assam (Aircel)","0.01100"
"India","Dishnet Wireless Limited Bihar & Jharkhand (Aircel)","0.01100"
"India","Dishnet Wireless Limited Himachal Pradesh (Aircel)","0.01100"
"India","Dishnet Wireless Limited Jammu & Kashmir (Aircel)","0.01100"
"India","Dishnet Wireless Limited Kolkata (Aircel)","0.01100"
"India","Dishnet Wireless Limited North East India (Aircel)","0.01100"
"India","Dishnet Wireless Limited Orissa (Aircel Orissa)","0.01100"
"India","Dishnet Wireless Limited West Bengal & Andaman&Nicobar Islan (Aircel)","0.01100"
"India","Etisalat DB AP (Etisalat - Andhra Pradesh)","0.01100"
"India","Etisalat DelhiNCR (Etisalat - Delhi)","0.01100"
"India","Etisalat Gujarat (Etisalat - Gujarat)","0.01100"
"India","Etisalat Kerala (Etisalat - Kerala)","0.01100"
"India","Fascel Limited Gujarat (Hutch-Gujarat)","0.01100"
"India","HFCL Punjab (HFCL Connect (Ping))","0.01100"
"India","Hutchison Essar Limited Mumbai (HUTCH)","0.01100"
"India","Hutchison Essar Limited Uttar Pradesh (HUTCH)","0.01100"
"India","Hutchison Essar Mobile Services Limited Delhi (Hutch-Delhi)","0.01100"
"India","Hutchison Essar South Limited Andhra Pradesh (Hutch-Andhra Pradesh)","0.01100"
"India","Hutchison Essar South Limited Chennai (Hutch-Chennai)","0.01100"
"India","Hutchison Essar South Limited Karnataka (Hutch-Karnataka)","0.01100"
"India","Hutchison Essar South Limited Punjab (Hutch-Punjab)","0.01100"
"India","Hutchison Essar South Limited West Bengal & Andaman&Nicobar (Hutch)","0.01100"
"India","Hutchison Kerala (Vodafone Kerala)","0.01100"
"India","Hutchison Maharashta (Vodafone Maharashta)","0.01100"
"India","Hutchison Telecom East Limited Kolkata (Hutch-Kolkata)","0.01100"
"India","IDEA Cellular Assam (IDEA - Assam)","0.01100"
"India","IDEA Cellular B&J (IDEA - Bihar & Jharkhand)","0.01100"
"India","IDEA Cellular Limited Andhra Pradesh (IDEA Cellular Limited - Andhra Pradesh)","0.01100"
"India","IDEA Cellular Limited Delhi (IDEA CELLULAR LIMITED - Delhi)","0.01100"
"India","IDEA Cellular Limited Gujarat (IDEA Cellular Limited - Gujarat)","0.01100"
"India","IDEA Cellular Limited Himachal Pradesh (IDEA Cellular Limited)","0.01100"
"India","IDEA Cellular Limited Madhya Pradesh (IDEA Cellular Limited - Madhya Pradesh)","0.01100"
"India","IDEA Cellular Limited Maharashtra (IDEA Cellular Limited - Maharashtra)","0.01100"
"India","IDEA Cellular Limited Mumbai (IDEA Cellular Limited Mumbai)","0.01100"
"India","IDEA Cellular Limited Rajasthan (IDEA Cellular Limited)","0.01100"
"India","IDEA Cellular Limited Uttar Pradesh East (IDEA Cellular Limited)","0.01100"
"India","IDEA Orissa (IDEA - Orissa)","0.01100"
"India","IDEACellular Kolkata (IDEA - Kolkata)","0.01100"
